,Date,Month,Year,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Day_Perc_Change,Trend
335,26/06/2018,6,2018,342,336.05,343.55,325.8,7.45,-0.725689405,Slight negative
336,25/06/2018,6,2018,333.01,330.12,338.47,327.5,6.93,-2.628654971,Negative
337,22/06/2018,6,2018,333.63,351.54,352.25,332,10.27,0.186180595,No change
338,21/06/2018,6,2018,347.51,362,366.21,346.27,7.97,4.160297335,Among top gainers
339,20/06/2018,6,2018,362.22,358.04,364.38,352,8.38,4.232971713,Among top gainers
340,19/06/2018,6,2018,352.55,365.16,370,346.25,12.76,-2.66964828,Negative
341,18/06/2018,6,2018,370.83,355.4,373.73,354.5,12.07,5.18508013,Among top gainers
342,15/06/2018,6,2018,358.17,353.84,364.67,351.25,10.85,-3.413963272,Among top losers
343,14/06/2018,6,2018,357.72,347.63,358.75,346.6,10.98,-0.125638663,No change
344,13/06/2018,6,2018,344.78,346.71,347.2,339.8,9.47,-3.617354355,Among top losers
345,12/06/2018,6,2018,342.77,344.7,354.97,338,22.35,-0.582980451,Slight negative
346,11/06/2018,6,2018,332.1,322.51,334.66,322.5,13.18,-3.112874522,Among top losers
347,08/06/2018,6,2018,317.66,319,324.48,317.15,8.21,-4.348087925,Among top losers
348,07/06/2018,6,2018,316.09,316.15,330,313.58,14.35,-0.494239124,No change
349,06/06/2018,6,2018,319.5,300.5,322.17,297.48,18.77,1.078806669,Positive
350,05/06/2018,6,2018,291.13,297.7,297.8,286.74,6,-8.879499218,Bear drop
351,04/06/2018,6,2018,296.74,294.34,299,293.55,4.8,1.926974204,Positive
352,01/06/2018,6,2018,291.82,285.86,291.95,283.84,5.42,-1.658017119,Negative
353,31/05/2018,5,2018,284.73,287.21,290.37,282.93,5.92,-2.429579878,Negative
354,30/05/2018,5,2018,291.72,283.29,295,281.6,7.49,2.454957328,Positive
355,29/05/2018,5,2018,283.76,278.51,286.5,276.15,5.67,-2.728643905,Negative
356,25/05/2018,5,2018,278.85,277.63,279.64,275.61,3.88,-1.730335495,Negative
357,24/05/2018,5,2018,277.85,278.4,281.11,274.89,4.18,-0.358615743,No change
358,23/05/2018,5,2018,279.07,277.76,279.91,274,5.99,0.439085838,No change
359,22/05/2018,5,2018,275.01,287.76,288,273.42,8.95,-1.454832121,Negative
360,21/05/2018,5,2018,284.49,281.33,291.49,281.3,9.18,3.447147376,Among top gainers
361,18/05/2018,5,2018,276.82,284.65,284.65,274,7.25,-2.696052585,Negative
362,17/05/2018,5,2018,284.54,285.9,289.19,283.97,4.42,2.788815837,Positive
363,16/05/2018,5,2018,286.48,283.83,288.81,281.56,5.67,0.681802207,Slight positive
364,15/05/2018,5,2018,284.18,285.01,286.96,280.5,9.52,-0.802848366,Slight negative
